,,,,,,,,,,,,,,,,,,,,,,,,,Supplemental (just get from EPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,geoId/12019,Clay County,10,222361,35337,39.9,1827,35.2,25.2,38.8,9.6,19.6,35.2,25.2,16.2,55.5,12043,39934,0.8343670632,3.1,4254.48,0.2225824,34.59227782,,-2.76,-0.24,0.6404437354,38.8,84159,6725,77434,193631,19541,,,,,,,,,,,,,,,,,,,,1704,1146,4775,4566,9450,5136,6115,2835,7092,2292,10155,3759,0,0,0,47,108,16,17,35,53,216,64,127,270,376,295,1529,1050,4322,3848,3710,792,121,147,0,1253,486,248,177,333,417,150,460,484,890,845,921,988,842,3473,3811,6927,5305,11318,7965,7548,3004,3004,772,53,45,93,
,,geoId/12021,Collier County,26,385980,35697,51.5,3519,27.2,24.9,31.6,9.4,15.2,27.2,24.9,16.8,61.7,30001,107989,0.9090865817,3.1,7241.78,0.22083223,28.27754202,34,-2.1,-1.33,-0.3204654543,31.6,225093,71382,153711,326150,44955,,,,,,,,,,,,,,,,,,,,1295,2639,3995,5998,8862,8572,6080,5986,10593,8267,22998,28061,68,48,148,294,139,90,194,261,177,450,275,343,317,342,395,1380,1699,6755,7681,10342,3405,1441,665,1488,1440,928,198,320,249,286,380,402,476,591,612,479,412,420,2019,2284,4955,4301,10642,10641,21521,12077,12077,8482,5565,2564,5536,
,,geoId/12023,Columbia County,35,70385,26967,40.3,853,34.3,29.9,37.5,11,23.6,34.3,29.9,16,47.9,6451,7348,0.8316250258,3.6,1515.844,0.17275944,36.9433764,27,-2.76,-0.08,0.4733381213,37.5,29631,3903,25728,55384,9045,,,,,,,,,,,,,,,,,,,,420,985,1749,2324,2974,2976,1213,1305,1713,853,1166,763,0,0,19,154,73,66,100,105,99,257,234,331,511,600,276,1169,1004,812,409,170,35,0,11,0,834,261,170,247,283,256,269,125,274,728,919,1132,745,592,1866,1206,2547,1312,1856,1171,1350,477,477,106,12,0,35,
,,geoId/12027,DeSoto County,66,34408,23121,40.9,377,41.6,38.3,35.7,13.8,24.7,41.6,38.3,15,44.8,6215,3141,0.822837604,3.6,1394.68,0.19115344,34.57140598,,-1.5,-2.04,-0.5533259925,35.7,15453,3246,12207,26479,5785,,,,,,,,,,,,,,,,,,,,307,1271,603,1373,1022,1532,316,581,320,572,307,445,6,49,8,31,63,79,59,13,51,32,343,133,285,163,350,370,388,580,61,53,7,11,12,0,787,212,154,218,201,169,241,214,398,259,398,507,784,83,962,752,847,305,450,473,396,273,273,7,56,7,107,
,,geoId/12029,Dixie County,43,17102,23277,45.5,241,38.5,32.1,38.5,11.2,26.7,38.5,32.1,17.2,44.3,2382,1353,0.771790484,4.1,423.415,0.16272025,32.78601592,,-2.76,0.2,-0.6658792559,38.5,9287,3216,6071,12903,2251,,,,,,,,,,,,,,,,,,,,10,136,742,2522,534,822,84,88,91,80,38,63,0,0,0,11,0,16,30,139,53,23,33,0,22,43,29,111,38,37,0,0,0,0,0,0,581,209,87,173,203,206,89,169,223,419,155,338,727,190,454,252,464,142,164,191,200,50,50,52,0,0,0,
,,geoId/12031,Duval County,12,999935,33050,36.5,8562,34.6,27.8,36.2,11.3,18.5,34.6,27.8,16,56.4,64073,212489,0.9063855963,3.2,25046.025,0.15397063,34.89011607,5,-2.76,0.1,0.4058157496,36.2,429495,42487,387008,845507,114640,,,,,,,,,,,,,,,,,,,,6154,5444,19647,18297,30924,16819,19115,7532,30526,10553,40025,16413,554,156,507,1862,1831,939,941,1024,1023,1689,1937,1835,2518,4296,5147,12477,15461,41865,27006,28616,6292,1090,419,510,1154,2421,1125,1608,1156,1556,1410,909,2598,3759,4164,4389,5406,5270,14323,15020,20653,17536,33020,26615,28100,12259,12259,3862,2440,724,1025,
,,geoId/12033,Escambia County,17,322390,29522,37.5,3409,35.4,25.3,36.5,10.2,19.7,35.4,25.3,15.2,56.2,20274,59065,0.8982912718,3.3,8279.712,0.17390724,34.66603397,36,-1.72,1.18,-0.6245269547,36.5,144698,20204,124494,267904,35035,,,,,,,,,,,,,,,,,,,,2532,2260,11470,13295,12992,7466,6118,2980,7401,2625,5826,3252,135,78,267,271,209,506,594,275,312,737,647,1105,888,1521,2090,4046,4532,12541,7153,4651,900,283,188,135,1076,943,432,512,710,466,695,667,1500,1939,2502,2717,2988,2711,7086,5789,8521,6612,10470,5609,7260,3635,3635,1008,527,152,232,
,,geoId/12035,Flagler County,29,120932,30712,52,1340,32.6,23.3,36.2,9.5,19.4,32.6,23.3,16.9,54.8,6736,23877,0.8626118398,3.9,2591.279,0.21022071,28.59953825,32,-2.76,-1.03,0.8648095691,36.2,54554,9063,45491,99524,13836,,,,,,,,,,,,,,,,,,,,641,749,1598,1754,4332,3192,3140,2236,5127,3280,5110,4459,0,0,6,59,33,92,42,23,100,87,83,97,65,50,64,299,394,1335,2788,3221,422,57,33,14,1416,310,72,67,128,96,144,41,123,230,273,127,211,458,1078,1314,2725,3686,7154,5905,5704,2332,2332,807,355,82,64,
,,geoId/12037,Franklin County,57,12572,25880,47.2,115,38.4,29.3,35.8,11.2,23.4,38.4,29.3,16.2,47.9,2026,2026,0.8474837083,2.9,360.99,0.15480361,27.6647502,,-1.72,0.06,-0.2276886279,35.8,8375,3816,4559,8703,1962,,,,,,,,,,,,,,,,,,,,68,304,330,878,322,327,153,118,125,333,253,356,0,0,0,24,5,51,4,47,21,23,28,18,37,16,41,66,63,97,99,81,5,20,0,21,904,39,4,0,83,24,48,27,50,84,151,171,151,78,238,90,277,286,240,241,498,314,314,62,57,10,33,
,,geoId/12039,Gadsden County,54,43714,26581,41.7,450,43,34.7,39.6,14.3,23,43,34.7,14.1,49,5987,6106,0.8206927541,3.9,1719.744,0.10997682,41.23801025,,-1.72,0.93,-0.06876681657,39.6,18709,2940,15769,35323,6003,,,,,,,,,,,,,,,,,,,,302,906,2124,3221,1423,1025,704,374,560,359,359,191,0,16,47,187,44,294,117,85,68,115,211,233,341,102,132,312,455,431,64,80,0,29,0,0,689,182,218,203,197,331,237,273,632,438,1063,732,756,298,959,680,925,879,812,711,508,333,333,0,11,0,59,
,,geoId/12041,Gilchrist County,45,18360,24971,42.2,213,36,29.1,36.5,10.4,24.5,36,29.1,17.4,49.6,1692,1548,0.7614850788,3.5,388.705,0.21932163,34.39595852,,-2.76,0.07,-0.4898899838,36.5,7479,820,6659,13951,2583,,,,,,,,,,,,,,,,,,,,125,206,941,1264,596,651,562,273,231,158,269,189,0,4,7,0,50,29,17,30,18,64,65,55,86,30,70,145,114,149,24,0,0,0,0,0,767,78,91,21,148,89,228,21,256,369,147,228,254,187,458,306,512,360,380,432,562,71,71,83,18,0,13,
