fips,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,hud_area_code,countyname,pop,state_alpha,metro
100199999,583,702,830,1047,1425,1,METRO33860M33860,Autauga County,55035,AL,1
100399999,744,749,916,1251,1566,1,METRO19300M19300,Baldwin County,203360,AL,1
100599999,477,481,633,789,925,1,NCNTY01005N01005,Barbour County,26200,AL,0
100799999,804,861,986,1291,1425,1,METRO13820M13820,Bibb County,22580,AL,1
100999999,804,861,986,1291,1425,1,METRO13820M13820,Blount County,57665,AL,1
101199999,474,484,612,809,878,1,NCNTY01011N01011,Bullock County,10480,AL,0
101399999,474,521,612,782,993,1,NCNTY01013N01013,Butler County,20125,AL,0
101599999,468,531,700,910,1072,1,METRO11500M11500,Calhoun County,115525,AL,1
101799999,486,593,683,887,977,1,NCNTY01017N01017,Chambers County,33895,AL,0
101999999,462,465,612,826,829,1,NCNTY01019N01019,Cherokee County,25855,AL,0
102199999,594,627,714,1030,1122,1,METRO13820N01021,Chilton County,43805,AL,1
102399999,466,469,618,770,844,1,NCNTY01023N01023,Choctaw County,13190,AL,0
102599999,474,507,612,883,980,1,NCNTY01025N01025,Clarke County,24625,AL,0
102799999,482,538,612,882,1075,1,NCNTY01027N01027,Clay County,13405,AL,0
102999999,462,465,612,863,1075,1,NCNTY01029N01029,Cleburne County,14940,AL,0
103199999,515,541,665,959,1168,1,NCNTY01031N01031,Coffee County,51075,AL,0
103399999,498,565,714,913,1191,1,METRO22520M22520,Colbert County,54435,AL,1
103599999,474,510,612,874,878,1,NCNTY01035N01035,Conecuh County,12650,AL,0
103799999,499,503,662,825,949,1,NCNTY01037N01037,Coosa County,10955,AL,0
103999999,474,489,612,818,1019,1,NCNTY01039N01039,Covington County,37520,AL,0
104199999,462,465,612,763,904,1,NCNTY01041N01041,Crenshaw County,13865,AL,0
104399999,469,525,645,871,874,1,NCNTY01043N01043,Cullman County,81705,AL,0
104599999,498,501,612,829,1075,1,NCNTY01045N01045,Dale County,49395,AL,0
104799999,489,503,618,783,837,1,NCNTY01047N01047,Dallas County,40755,AL,0
104999999,462,465,612,818,884,1,NCNTY01049N01049,DeKalb County,71195,AL,0
105199999,583,702,830,1047,1425,1,METRO33860M33860,Elmore County,80990,AL,1
105399999,474,538,612,815,903,1,NCNTY01053N01053,Escambia County,37620,AL,0
105599999,523,527,693,877,985,1,METRO23460M23460,Etowah County,103130,AL,1
